0	30	30	0	0	0	0	0	0
0	22	38	6	51	20	80	101	1
1	34	57	48	59	14	74	460	1
2	47	48	13	17	46	106	339	1
3	5	30	13	30	8	68	66	1
4	1	56	44	32	49	109	459	1
5	0	16	10	23	12	72	43	1
6	49	18	15	18	34	94	130	1
7	28	53	32	53	4	64	159	1
8	12	0	46	51	61	121	18	1
9	45	13	39	54	41	101	332	1
10	38	12	43	43	31	91	98	1
11	43	3	10	4	33	93	429	1
12	10	23	46	43	41	101	331	1
13	42	15	31	52	38	98	341	1
14	51	39	15	50	37	97	198	1
15	59	52	22	56	37	97	386	1
16	29	6	31	20	14	74	180	1
17	7	54	28	42	24	84	153	1
18	7	22	21	54	34	94	244	1
19	19	15	43	3	26	86	110	1
20	16	21	37	25	21	81	195	1
21	4	38	12	56	19	79	198	1
22	28	17	48	13	20	80	82	1
23	30	32	15	13	24	84	33	1
24	23	31	31	56	26	86	121	1
25	5	25	17	59	36	96	184	1
26	39	5	21	27	28	88	367	1
27	26	7	55	42	45	105	248	1
28	22	36	33	59	25	85	376	1
29	16	26	56	11	42	102	399	1
30	25	24	14	48	26	86	477	1
