0	10	10	0	0	0	0	0	0
1	10	6	11	17	11	71	176	1
2	18	9	11	16	9	69	246	1
3	2	15	15	7	15	75	140	1
4	1	0	20	8	20	80	331	1
5	10	5	10	1	4	64	201	1
6	18	12	1	12	17	77	197	1
7	11	7	1	8	10	70	417	1
8	4	19	0	15	5	65	145	1
9	20	13	7	5	15	75	278	1
10	7	1	1	0	6	66	316	1
11	14	3	5	17	16	76	477	1
12	18	10	18	10	0	60	125	1
13	12	13	16	20	8	68	400	1
14	18	12	2	20	17	77	441	1
15	6	5	1	15	11	71	430	1
16	13	11	12	12	1	61	219	1
17	15	12	14	16	4	64	134	1
18	5	8	14	0	12	72	420	1
19	14	8	0	1	15	75	268	1
20	18	13	2	3	18	78	315	1
21	2	7	2	0	7	67	456	1
22	8	0	17	0	9	69	37	1
23	3	15	17	8	15	75	468	1
24	13	3	20	10	9	69	385	1
25	0	15	12	5	15	75	371	1
26	16	11	9	2	11	71	355	1
27	10	10	18	15	9	69	277	1
28	0	18	11	2	19	79	301	1
29	18	17	4	6	17	77	358	1
30	18	20	14	0	20	80	301	1
31	3	10	3	7	3	63	377	1
32	20	5	14	20	16	76	171	1
33	2	1	1	12	11	71	217	1
34	8	12	6	20	8	68	246	1
35	11	19	4	7	13	73	84	1
36	4	4	3	3	1	61	439	1
37	18	12	20	6	6	66	428	1
38	12	7	7	18	12	72	309	1
39	15	3	19	14	11	71	372	1
40	18	1	15	1	3	63	292	1
