0	10	10	0	0	0	0	0	0
1	6	1	7	11	10	70	334	1
2	7	4	15	11	10	70	272	1
3	6	19	4	20	2	62	210	1
4	14	7	8	10	6	66	88	1
5	0	6	19	3	19	79	134	1
6	13	11	11	16	5	65	476	1
7	10	19	12	14	5	65	245	1
8	6	4	8	15	11	71	128	1
9	8	5	8	5	0	60	53	1
10	2	9	3	12	3	63	343	1
11	5	18	15	7	14	74	140	1
12	8	12	0	12	8	68	30	1
13	19	8	1	20	21	81	112	1
14	10	0	1	20	21	81	62	1
15	12	11	10	15	4	64	321	1
16	1	17	11	9	12	72	298	1
17	10	13	9	6	7	67	304	1
18	1	16	11	12	10	70	323	1
19	17	4	6	18	17	77	123	1
20	17	2	12	15	13	73	472	1
21	18	0	1	1	17	77	143	1
22	10	14	6	20	7	67	20	1
23	1	5	14	15	16	76	478	1
24	15	19	11	6	13	73	468	1
25	11	2	16	8	7	67	346	1
26	7	3	0	12	11	71	199	1
27	4	7	9	15	9	69	65	1
28	0	4	1	18	14	74	229	1
29	16	5	13	3	3	63	212	1
30	18	11	2	15	16	76	439	1
